,index,customer_type,session_duration_microseconds,signed_up,pages_visited,app_removed,personalise_store_pageviews,purposeful_shelves_pageviews,digi_me_pageviews,homepage_duration_microseconds,add_to_cart,scan_qr,notification_open,notification_receive,price,quantity,total_cost,entered_store,visited_purposeful_shelves,entered_dm,visited_digi_me,visited_personalised_store,entered_welcome,entered_purposeful_shelves,cos_month,cos_wday,completed_transaction
759,615,0,0.0008116735519152,0,9,0,1,0,0,4.049611858415127e-07,0,0,0,0,0.0,0.0,0.0,1,0,0,0,0,1,0,0.3090169943749474,0.9009688679024191,0
760,1076,0,0.0001358504203399,0,2,0,0,0,0,0.0166762618761553,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.8910065241883679,0.9009688679024191,0
761,1168,0,0.0052183267934714,0,7,0,0,0,0,8.425469458508077e-06,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.3090169943749474,0.6234898018587336,0
762,1177,0,0.0001378727011278,0,2,0,0,0,0,0.0154515654626186,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.7071067811865476,0.9009688679024191,0
763,484,0,0.0778194735236903,0,14,0,0,0,0,8.02566039912852e-07,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.4539904997395468,0.9749279121818236,0
764,36,0,0.0142842539916737,0,13,0,1,2,0,2.861733700930424e-05,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.3090169943749474,0.6234898018587336,0
765,1034,0,0.0039174161779349,0,6,0,0,0,0,7.788878763376245e-06,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.1564344650402309,6.123233995736766e-17,0
766,812,0,0.0084363550676465,0,11,0,0,2,0,0.0003275754741616,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.5877852522924731,0.9009688679024191,0
767,195,0,0.0406667586569214,0,28,0,4,11,0,6.681194709430281e-05,3,1,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.1564344650402309,0.6234898018587336,0
768,579,0,0.0005077026089439,0,6,0,1,0,0,5.998096799519492e-07,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,6.123233995736766e-17,0.6234898018587336,0
769,509,0,0.0005180342312511,0,2,0,0,0,0,0.0699956967908772,0,0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,1,0.5877852522924731,0.9009688679024191,0
770,1309,1,0.0125138900025967,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.4539904997395468,0.2225209339563144,0
771,295,0,6.572702726815695e-05,0,2,0,0,1,0,1.3746982353646688e-07,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.3090169943749474,0.9749279121818236,0
