event_date,session_timestamp,event_wday,user_id,user_customer_id,session_duration_microseconds,visited_personalised_store,personalise_store_pageviews,visited_purposeful_shelves,purposeful_shelves_pageviews,visited_digi_me,digi_me_pageviews,entered_store,entered_purposeful_shelves,entered_dm,entered_welcome
19/08/2022,1.66089E+15,Friday,890AF9D4FA8D412D920C49789ACC2ABA,mZhPRMCe6ihCGgr4WLNKA74Lfcq2,8001521006,0,0,1,22,0,0,1,1,1,1
22/08/2022,1.66115E+15,Monday,24E67F68C97C46CA94C83083EE5BFF18,rmzrZm9JLtYPiSCQo5ESlzqclj63,23608550002,0,0,0,0,0,0,1,1,1,0
25/07/2022,1.65875E+15,Monday,effbc254ba576278fa5d064491958314,ilkk3rXHfvRVozJzRT77tN1Bu9I2,251064002,0,0,0,0,0,0,1,1,0,1
25/07/2022,1.65874E+15,Monday,65fe7b5d2163cf33a20fdb612bdd1004,JNOlg7nb0caoxuX50BTT20pJ8aB3,14649953001,0,0,0,0,0,0,1,1,1,1
05/09/2022,1.66238E+15,Monday,B5B16DB35477465DA2AD1DBB01EB71EC,0PPfsV1L1YdzrBzloi3YV5WEV8C2,1011596011,0,0,0,0,0,0,1,1,0,0
15/08/2022,1.66057E+15,Monday,12b8871209c2c81f891fd66ac6663867,K9KeA6etCVe1opm6b1ThDsMiVW33,72735005,0,0,0,0,0,0,1,0,0,1
15/08/2022,1.66055E+15,Monday,effbc254ba576278fa5d064491958314,SeQflhtOohaV0PLzC5qjH8MiihB3,17096346009,0,0,0,0,0,0,1,0,1,1
26/09/2022,1.66419E+15,Monday,425BE6D7542E48E293126C8DECE56983,059VyWLoggdNE5iYtEKRPmN0Sk03,17669553026,0,0,0,0,0,0,1,0,0,1
26/09/2022,1.6642E+15,Monday,6073C1FFAA26452A922E43F33F55EDA6,m7B3CDKCROWoPWwEF9VZVgNzk9r2,6723407003,0,0,0,0,0,0,1,1,0,1
26/09/2022,1.6642E+15,Monday,effbc254ba576278fa5d064491958314,SeQflhtOohaV0PLzC5qjH8MiihB3,3386176096,1,15,0,0,0,0,1,1,1,1
26/09/2022,1.6642E+15,Monday,82D8B2098CDC49379CC111427F9489AE,xRXR4iJG66VoG86H8Tfb0NLR2m53,3892153008,1,3,0,0,0,0,1,1,0,1
27/06/2022,1.65634E+15,Monday,bd1fb12007e73ca029925f08463fbd8b,Nf7QA8NGCwadoEGRlEJ6Nc8cevI2,444736033,0,0,0,0,0,0,1,1,0,1
12/09/2022,1.66298E+15,Monday,24E67F68C97C46CA94C83083EE5BFF18,rmzrZm9JLtYPiSCQo5ESlzqclj63,7102644019,0,0,0,0,0,0,1,0,1,0
01/08/2022,1.65934E+15,Monday,effbc254ba576278fa5d064491958314,ilkk3rXHfvRVozJzRT77tN1Bu9I2,7617863001,0,0,0,0,0,0,1,1,1,1
22/08/2022,1.66117E+15,Monday,9A6EDE6540B54BE2987FCEDDF4986A76,61gdPddDxtQcBdQycs15Z8UhYHl2,3479848003,0,0,1,4,0,0,1,1,1,1
22/08/2022,1.66116E+15,Monday,effbc254ba576278fa5d064491958314,SeQflhtOohaV0PLzC5qjH8MiihB3,2778584014,1,1,1,11,0,0,1,1,1,1
25/07/2022,1.65874E+15,Monday,b1ad626d2506be76b5a74b6383335736,ilkk3rXHfvRVozJzRT77tN1Bu9I2,3145757005,0,0,1,2,0,0,1,1,1,1
25/07/2022,1.65876E+15,Monday,65fe7b5d2163cf33a20fdb612bdd1004,7iGXxZpjIKhKg3WYwbBb5ityvki2,16477170047,0,0,1,3,0,0,1,1,1,1
11/07/2022,1.65754E+15,Monday,A2ECCB4200624749A49AEEEB39069423,CK8zzagBwJaJz3eygIuvIWBL4Mu1,6743434000,0,0,1,2,0,0,1,1,0,1
20/06/2022,1.65574E+15,Monday,412dfa3b46d33e1c67a82946bccd5a45,CK8zzagBwJaJz3eygIuvIWBL4Mu1,2948950000,0,0,1,20,0,0,1,1,1,0
20/06/2022,1.65575E+15,Monday,A2ECCB4200624749A49AEEEB39069423,059VyWLoggdNE5iYtEKRPmN0Sk03,1929636009,0,0,1,2,0,0,1,1,1,0
20/06/2022,1.65573E+15,Monday,280A8B7BA33F476FA7CD34E2EA59EB3F,gTO72xxmdqheXF3MvFYeqse7PvB3,3848412001,0,0,1,3,0,0,1,1,1,1
20/06/2022,1.65573E+15,Monday,65fe7b5d2163cf33a20fdb612bdd1004,hPGNI11lKYXyqJa8LpewjgHuCGM2,11664701002,1,10,1,109,0,0,1,1,1,1
