event_date,session_timestamp,event_wday,user_id,user_customer_id,session_id,ga_session_number,customer_type,session_duration_microseconds,completed_transaction,signed_up,transaction_value,pages_visited,app_removed,personalise_store_pageviews,purposeful_shelves_pageviews,digi_me_pageviews,homepage_duration_microseconds,add_to_cart,scan_qr,notification_open,notification_receive
17/06/2022,1.65545E+15,Friday,412dfa3b46d33e1c67a82946bccd5a45,CK8zzagBwJaJz3eygIuvIWBL4Mu1,1655393727,1,New Visitor,20119347004,1,0,190,192,0,20,195,0,8255190023,11,63,0,4
29/07/2022,1.65909E+15,Friday,4AA0E16F015046DA85AD65BFCD17C040,,1659093171,1,New Visitor,270003,0,0,,4,0,0,0,0,0,0,0,0,0
29/07/2022,1.6591E+15,Friday,F54FF93DEDCA4586A2151EDB8348F768,,1659097444,1,New Visitor,8256008,0,0,,7,0,0,0,0,0,0,0,0,0
29/07/2022,1.65911E+15,Friday,4f6c79574bb0fbe6ee1bbf5b695bb6ea,,1659106525,1,New Visitor,27256001,0,0,,6,0,0,1,0,0,0,0,0,0
29/07/2022,1.6591E+15,Friday,81E6F455E7CA4A03B1FAD12506FBF72C,,1659097441,1,New Visitor,11770008,0,0,,7,0,0,0,0,0,0,0,0,0
29/07/2022,1.65911E+15,Friday,4f6c79574bb0fbe6ee1bbf5b695bb6ea,BvsIWW02yVXShz0IPtjU0UDsNra2,1659106525,1,New Visitor,153040001,0,0,,19,0,0,21,0,3607004,0,0,0,0
29/07/2022,1.65909E+15,Friday,4AA0E16F015046DA85AD65BFCD17C040,OlVAIcxa7ybnHdhGqcBeUqqeG5k1,1659093171,1,New Visitor,2622646004,0,0,,59,0,4,20,0,104713017,0,0,0,0
29/07/2022,1.6591E+15,Friday,81E6F455E7CA4A03B1FAD12506FBF72C,tbC7UmrExeXhJdzGgeKgN0HQ7aF3,1659097441,1,New Visitor,155961003,0,1,,26,0,1,0,0,11584002,0,0,0,0
29/07/2022,1.6591E+15,Friday,F54FF93DEDCA4586A2151EDB8348F768,uyR2ARwgahWPdHhhx7GCOEBnaZj2,1659097444,1,New Visitor,56590008,0,1,,13,0,1,0,0,5227999,0,0,0,0
01/04/2022,1.6488E+15,Friday,6B7A07FDAC42470DBC2EAAA1DB59C157,,1648800596,1,New Visitor,9272008,0,0,,6,0,0,0,0,0,0,0,0,0
